@relation data_training-weka.filters.unsupervised.attribute.Remove-R1-2

@attribute age {0,1,2,3,4,5,6,7,8,9,10}
@attribute aadt numeric
@attribute trucks numeric
@attribute elevation numeric
@attribute precip numeric
@attribute min_temp numeric
@attribute max_temp numeric
@attribute wet_days numeric
@attribute freeze_thaw numeric
@attribute rut_depth numeric
@attribute number_of_lanes {1,2,3}
@attribute sys_id {1,2,3}
@attribute f_class {1,2,3,4,5,6,7}
@attribute category {1,2,3,4,5}
@attribute psi numeric

@data
4,64000,2830,2250,3.07,52,83,18,43,0.051,3,2,1,1,3.48
1,495,99,5750,10.6,30,62,63,189,0.08,1,2,3,3,3.62
2,45,15,5750,10.6,30,62,63,189,0.024,1,3,5,5,3.16
2,330,66,5750,10.6,30,62,63,189,0.05,1,2,3,3,4.33
0,650,200,3750,5.36,44,76,29,77,0.05,1,2,3,3,4.37
7,285,49,5750,10.6,30,62,63,189,0.029,1,2,3,3,3.8
3,4075,688,7250,22.95,30,53,70,143,0.11,1,3,4,3,3.86
9,200,17,4250,6,36,67,41,154,0.023,1,3,5,5,2.99
0,5200,485,4250,6,36,67,41,154,0.04,1,2,3,2,4.29
3,1450,98,4250,5.8,41,73,31,100,0.026,1,2,3,2,4
2,1050,500,5750,10.6,30,62,63,189,0.069,1,2,3,2,4.41
1,3400,1339,4750,6.25,32,65,50,230,0.036,2,1,1,1,4.11
1,145,10,5750,7.71,34,66,40,156,0.11,1,3,5,4,3.54
2,5500,1398,5250,7.95,31,63,56,216,0.084,2,1,1,1,4.05
1,550,111,6750,18.25,32,57,73,145,0.04,1,2,3,3,4.12
0,9050,2500,2250,3.07,52,83,18,43,0.09,2,1,1,1,4.41
1,155,95,6250,8.75,32,63,42,166,0.11,1,3,4,5,4.28
6,900,49,5250,7.95,31,63,56,216,0.026,1,3,7,4,3.69
1,1350,85,4750,8.25,33,65,45,176,0.15,1,3,5,3,3.38
0,3904,1140,5250,7.95,31,63,56,216,0.09,2,1,1,1,4.23
6,2300,440,750,1.55,56,89,11,0,0.097,2,3,4,2,3.85
2,500,180,4250,5.8,41,73,31,100,0.03,1,2,3,3,4.21
4,2850,93,5250,10.35,32,63,50,183,0.122,1,3,4,3,4.12
1,5095,120,5750,12.9,31,60,55,179,0.08,1,3,4,3,4.05
2,1800,180,5250,10.35,32,63,50,183,0.048,1,3,5,3,4.38
0,315,61,5750,10.6,30,62,63,189,0.1,1,2,3,3,4.14
0,335,50,6250,14.05,31,59,67,165,0.02,1,3,4,4,4.12
0,455,89,6750,18.25,32,57,73,145,0.09,1,2,3,3,4.39
7,385,53,5750,10.6,30,62,63,189,0.041,1,2,3,3,3.83
1,4050,1280,2750,5.17,50,80,22,69,0.062,1,2,3,2,3.73
5,150,15,6250,8.75,32,63,42,166,0,1,3,4,5,4.28
5,4950,998,2250,3.07,52,83,18,43,0.039,2,2,3,2,4.14
4,500,83,7250,23.15,33,54,77,128,0,1,2,3,3,3.96
0,1500,200,4250,6,36,67,41,154,0.04,1,3,4,3,4.16
8,5500,293,2750,5.17,50,80,22,69,0.052,1,3,4,2,3.54
1,5500,487,4250,6,36,67,41,154,0.05,2,2,3,2,4.4
4,3800,1513,4750,6.65,36,67,41,154,0.122,1,2,3,2,4.06
1,430,86,7250,23.15,33,54,77,128,0.04,1,2,3,3,4.35
4,7025,900,1750,3.07,52,83,18,43,0.05,2,3,4,2,3.33
2,360,45,4750,6.25,32,65,50,230,0.031,1,3,4,4,4.12
6,2850,425,5250,10.35,32,63,50,183,0.088,1,2,3,2,4.2
3,45,1,3750,5.55,38,69,38,119,0.07,1,3,6,5,4.13
1,2600,1128,5750,10.6,30,62,63,189,0.025,2,1,1,1,3.69
0,60,15,3750,5.55,38,69,38,119,0.06,1,3,6,3,4.1
8,5500,373,4250,6,36,67,41,154,0.076,1,2,3,2,3.86
1,365,73,5750,10.6,30,62,63,189,0.05,1,2,3,3,4.28
1,15000,650,4750,6.65,36,67,41,154,0.22,2,2,3,2,3.59
3,400,80,6750,18.25,32,57,73,145,0,1,2,3,3,4.31
1,3250,1500,5250,7.95,31,63,56,216,0.03,2,1,1,1,4.38
4,900,65,6250,14.05,31,59,67,165,0,1,3,4,3,4
7,4200,427,6750,19.25,30,56,65,158,0.208,1,3,4,3,3.34
1,1250,378,4250,5.8,41,73,31,100,0.021,1,2,3,2,4.18
0,68500,1754,2250,3.07,52,83,18,43,0,2,2,2,1,4.23
2,15500,1534,2250,3.07,52,83,18,43,0,2,1,1,1,4.21
4,600,208,3750,5.36,44,76,29,77,0.011,1,2,3,3,4.39
0,1000,285,5250,6.88,37,68,37,143,0,1,2,3,2,4.48
5,32500,1900,4750,6.65,36,67,41,154,0.205,2,1,1,1,2.52
3,3950,1700,4250,6,36,67,41,154,0,2,1,1,1,4.37
0,705,75,2750,6.37,48,78,25,87,0.1,1,3,5,2,4.37
7,1100,367,5750,10.6,30,62,63,189,0.08,1,2,3,2,3.75
0,130,10,4750,6.28,39,71,34,129,0.07,1,3,5,5,3.4
9,215,47,6250,8.75,32,63,42,166,0.032,1,3,4,5,3.15
3,390,25,4750,6.65,36,67,41,154,0.06,1,3,7,4,3.86
2,3925,1291,4250,6,36,67,41,154,0.16,2,1,1,1,4.14
0,3000,350,5250,10.35,32,63,50,183,0,1,2,3,3,4.17
1,3300,1450,4750,6.25,32,65,50,230,0.17,2,1,1,1,4.42
2,5500,121,2750,5.17,50,80,22,69,0.01,1,3,5,3,3.85
8,240,72,6250,14.05,31,59,67,165,0.037,1,3,4,4,3.15
2,550,200,4250,5.8,41,73,31,100,0,1,2,3,3,4.46
3,6510,273,5250,7.95,31,63,56,216,0.1,2,3,4,2,4.11
0,3775,1800,3750,5.55,38,69,38,119,0.09,2,1,1,1,4.29
6,250,45,6250,8.75,32,63,42,166,0.032,1,3,4,4,3.61
1,3775,1460,4250,6,36,67,41,154,0.04,2,1,1,1,4.22
3,3700,1700,3750,5.55,38,69,38,119,0.07,2,1,1,1,4.25
0,315,26,4750,8.25,33,65,45,176,0.02,1,3,7,4,3.78
1,4650,1398,5250,7.95,31,63,56,216,0.097,2,1,1,1,4.28
0,10000,2500,2250,3.07,52,83,18,43,0,2,1,1,1,4.26
0,195,20,4750,6.28,39,71,34,129,0.03,1,3,4,5,3.94
1,100,5,4750,6.28,39,71,34,129,0.09,1,3,5,5,2.08
1,13650,2184,2250,3.07,52,83,18,43,0,2,1,1,1,4.28
4,1100,300,3750,5.36,44,76,29,77,0.03,1,2,3,2,4.29
0,825,36,3750,5.55,38,69,38,119,0,1,3,6,3,4.12
0,2075,115,2750,6.37,48,78,25,87,0.06,1,3,5,3,4.12
1,3900,1283,3750,5.55,38,69,38,119,0.02,2,1,1,1,4.33
0,650,133,5750,10.6,30,62,63,189,0.025,1,2,3,3,3.92
4,380,90,5750,10.6,30,62,63,189,0,1,2,3,3,4.4
7,285,49,5750,10.6,30,62,63,189,0.032,1,2,3,3,3.69
2,45,2,5750,10.6,30,62,63,189,0.076,1,3,6,5,3.13
4,4750,1237,3250,7.58,41,70,36,108,0.03,1,2,3,2,4.19
5,3400,1470,5250,7.95,31,63,56,216,0.076,2,1,1,1,4.17
9,205,9,5250,7.95,31,63,56,216,0,1,3,6,4,3.65
5,16250,3250,4250,6,36,67,41,154,0.03,2,1,1,1,4.24
0,21500,4730,2750,5.17,50,80,22,69,0,2,1,1,1,4.31
2,1100,450,4250,5.8,41,73,31,100,0.03,1,2,3,2,4.41
0,85,15,5750,10.6,30,62,63,189,0,1,3,5,5,3.43
1,9500,2500,2250,3.07,52,83,18,43,0.06,2,1,1,1,4.27
4,45,2,5750,10.6,30,62,63,189,0.114,1,3,6,5,2.8
3,3450,1685,4250,6,36,67,41,154,0.089,2,1,1,1,3.89
5,14500,1280,4750,6.65,36,67,41,154,0.206,2,2,3,1,2.56
0,110,25,5750,7.71,34,66,40,156,0.08,1,3,4,5,3.3
3,12000,3559,2250,3.07,52,83,18,43,0.041,2,1,1,1,3.37
4,1300,430,3750,5.55,38,69,38,119,0,1,2,3,2,4.33
4,6000,178,4750,6.65,36,67,41,154,0.131,1,2,3,2,4.1
2,340,60,5750,10.6,30,62,63,189,0,1,2,3,3,4.17
4,420,140,3750,5.55,38,69,38,119,0,1,2,3,3,3.8
1,4250,487,4250,6,36,67,41,154,0,1,2,3,2,3.67
0,3500,378,2750,5.17,50,80,22,69,0.11,2,3,4,2,4.18
4,1550,370,4250,5.8,41,73,31,100,0.037,1,2,3,2,3.96
5,1250,160,3750,5.55,38,69,38,119,0.038,1,2,3,2,4.35
5,3500,1435,5250,7.95,31,63,56,216,0,2,1,1,1,4.02
4,100,21,4750,6.28,39,71,34,129,0.067,1,3,5,5,1.91
1,320,10,5750,7.71,34,66,40,156,0.17,1,3,5,4,3.68
0,1100,500,5750,10.6,30,62,63,189,0.01,1,2,3,2,4.4
3,55000,2702,2250,3.07,52,83,18,43,0.063,3,2,1,1,3.57
4,25,2,4250,5.8,41,73,31,100,0.123,1,3,5,5,2.27
0,455,89,6750,18.25,32,57,73,145,0.08,1,2,3,3,4.31
4,700,157,5750,10.6,30,62,63,189,0.04,1,2,3,3,3.72
5,1050,500,5750,10.6,30,62,63,189,0.031,1,2,3,2,4.32
7,14000,927,4750,6.65,36,67,41,154,0.234,2,2,3,1,3.65
1,626,126,6750,18.25,32,57,73,145,0.03,1,2,3,3,4.37
0,55,1,5750,10.6,30,62,63,189,0,1,3,6,5,2.84
6,265,75,6250,14.05,31,59,67,165,0.047,1,3,4,4,4.16
3,6000,1367,1750,3.07,52,83,18,43,0.02,1,2,3,2,4.12
0,9950,2500,1750,3.07,52,83,18,43,0.04,2,1,1,1,4.09
8,240,72,5750,7.71,34,66,40,156,0.028,1,3,4,4,3.39
2,750,157,5750,10.6,30,62,63,189,0.092,1,2,3,3,3.73
7,1200,271,4750,6.28,39,71,34,129,0.037,1,2,3,2,3.72
2,19000,4754,2750,5.17,50,80,22,69,0.045,2,1,1,1,3.98
4,1825,425,3250,4.93,46,78,26,53,0.04,2,2,3,1,3.83
6,250,45,5750,7.71,34,66,40,156,0.022,1,3,4,4,3.63
1,430,86,6750,18.25,32,57,73,145,0.03,1,2,3,3,4.29
0,1100,500,5750,10.6,30,62,63,189,0.02,1,2,3,2,4.35
7,1900,293,3750,5.36,44,76,29,77,0.036,2,2,3,1,3.43
2,4750,1300,2250,3.07,52,83,18,43,0.03,1,2,3,2,4.23
0,4150,1365,4250,6,36,67,41,154,0.16,2,1,1,1,4.37
1,1075,464,5750,10.6,30,62,63,189,0.01,1,2,3,3,4.26
4,85,4,5250,6.88,37,68,37,143,0.096,1,3,6,5,2.54
0,5500,703,6250,15.9,30,58,60,171,0.084,2,2,3,2,4.08
8,3850,1577,4250,6,36,67,41,154,0.025,2,1,1,1,3.58
0,1075,464,5750,10.6,30,62,63,189,0,1,2,3,3,4.24
2,285,66,5750,10.6,30,62,63,189,0.049,1,2,3,3,3.25
7,4350,998,3250,7.58,41,70,36,108,0.098,2,2,3,2,4
5,150,12,4250,6,36,67,41,154,0,1,3,5,5,3.34
1,365,73,6250,14.05,31,59,67,165,0.03,1,2,3,3,4.26
1,1800,487,4250,5.8,41,73,31,100,0,1,2,3,2,4.14
4,14550,3315,4750,6.65,36,67,41,154,0.02,2,1,1,1,3.46
2,8050,1529,1750,3.07,52,83,18,43,0.09,2,1,1,1,4.27
6,370,125,6250,14.05,31,59,67,165,0.044,1,3,4,4,3.87
1,1050,500,5250,7.95,31,63,56,216,0.078,1,2,3,2,4.4
0,395,20,4750,8.25,33,65,45,176,0.09,1,3,6,4,4.15
0,3730,1450,4250,6.65,36,67,41,154,0.06,2,1,1,1,4.29
8,240,72,6250,14.05,31,59,67,165,0.034,1,3,4,4,3.06
1,1100,225,5250,7.95,31,63,56,216,0.01,1,2,3,2,4.21
1,650,175,5750,10.6,30,62,63,189,0,1,2,3,3,4.37
2,725,15,2750,5.17,50,80,22,69,0.15,1,3,5,2,4.28
4,9500,1891,2250,3.07,52,83,18,43,0.047,2,1,1,1,3.54
7,1200,271,3750,5.55,38,69,38,119,0.024,1,2,3,2,3.9
2,2800,330,5250,10.35,32,63,50,183,0,1,2,3,2,3.78
0,110,30,4750,6.28,39,71,34,129,0.1,1,3,4,4,4.25
1,465,93,6250,14.05,31,59,67,165,0.03,1,2,3,3,4.44
1,115,11,2250,3.07,52,83,18,43,0,1,3,5,4,3.29
6,385,53,5750,10.6,30,62,63,189,0.045,1,2,3,3,3.87
6,8750,1355,2250,3.07,52,83,18,43,0.051,2,1,1,1,3.6
1,1100,225,5250,7.95,31,63,56,216,0,1,2,3,2,4.42
0,1350,85,4750,8.25,33,65,45,176,0.16,1,3,5,2,3.66
2,11285,1015,4250,6,36,67,41,154,0.06,2,1,1,1,4.2
2,320,54,6250,14.05,31,59,67,165,0.06,1,3,4,4,4.15
3,3450,1435,5250,7.95,31,63,56,216,0,2,1,1,1,3.84
1,4050,1280,2750,5.17,50,80,22,69,0.089,1,2,3,2,3.4
4,3550,1470,5250,7.95,31,63,56,216,0.105,2,1,1,1,4.12
2,15500,406,1750,3.07,52,83,18,43,0,3,3,4,2,3.91
1,145,95,6250,8.75,32,63,42,166,0.12,1,3,4,5,4.29
3,750,115,3750,5.55,38,69,38,119,0.028,1,2,3,3,3.5
2,2675,1225,5750,10.6,30,62,63,189,0,2,1,1,1,4.17
1,5095,120,5750,12.9,31,60,55,179,0.15,1,3,4,3,3.99
2,215,36,5750,7.71,34,66,40,156,0.02,1,3,4,4,3.79
4,1050,500,5750,10.6,30,62,63,189,0.048,1,2,3,2,4.23
3,950,235,5250,6.88,37,68,37,143,0.034,1,2,3,2,4.13
0,9950,2500,1750,3.07,52,83,18,43,0.02,2,1,1,1,4.23
1,1075,350,5750,10.6,30,62,63,189,0.02,1,2,3,3,4.33
0,125,30,4750,6.28,39,71,34,129,0.11,1,3,4,4,4.33
1,155,95,5750,7.71,34,66,40,156,0.12,1,3,4,5,4.29
0,110,25,5750,7.71,34,66,40,156,0,1,3,4,5,3.35
2,15500,406,1750,3.07,52,83,18,43,0,3,3,4,2,3.76
1,70,20,5250,6.88,37,68,37,143,0.23,1,3,5,5,3.15
0,175,30,4250,6.65,36,67,41,154,0.09,1,3,5,4,3.62
3,1650,473,4250,5.8,41,73,31,100,0.035,1,2,3,2,4.29
7,245,25,3750,5.36,44,76,29,77,0.021,1,3,5,5,4.04
0,10318,459,4750,6.65,36,67,41,154,0.05,2,3,3,2,4.02
8,600,72,5250,6.88,37,68,37,143,0.08,1,3,4,4,3.05
4,1500,200,4750,6.65,36,67,41,154,0.06,1,3,4,3,4.07
5,150,15,6250,8.75,32,63,42,166,0,1,3,4,5,3.9
6,1300,45,4250,5.8,41,73,31,100,0.044,1,3,5,3,3.86
7,150,15,5750,7.71,34,66,40,156,0.037,1,3,4,5,3.6
0,22250,190,1750,3.07,52,83,18,43,0.04,3,3,4,2,3.81
0,300,25,3750,5.55,38,69,38,119,0.11,1,3,6,3,3.21
2,3900,1470,4750,6.65,36,67,41,154,0,2,1,1,1,4.19
0,3750,1800,4250,6,36,67,41,154,0,2,1,1,1,4.24
6,950,150,2750,5.17,50,80,22,69,0.032,1,3,5,3,3.98
0,3655,1450,4250,6.65,36,67,41,154,0.05,2,1,1,1,4.45
6,5500,257,5750,12.9,31,60,55,179,0.14,1,3,4,3,3.66
3,90,10,3750,5.55,38,69,38,119,0.04,1,3,5,4,4.22
2,215,36,5750,7.71,34,66,40,156,0,1,3,4,4,3.92
5,2400,455,4250,6,36,67,41,154,0.033,1,3,4,3,4.09
4,9500,2375,2250,3.07,52,83,18,43,0.07,2,1,1,1,3.95
3,1100,350,3750,5.36,44,76,29,77,0,1,2,3,2,4.39
2,285,66,5750,10.6,30,62,63,189,0.021,1,2,3,3,3.12
3,98500,3413,2250,3.07,52,83,18,43,0.053,3,1,1,1,3.47
2,2700,1470,6750,18.25,32,57,73,145,0.059,2,1,1,1,4.18
5,1875,125,4750,6.65,36,67,41,154,0,1,3,5,2,2.98
0,80,9,2250,3.07,52,83,18,43,0.07,1,3,5,5,3.27
2,1050,414,4250,5.8,41,73,31,100,0.025,1,2,3,2,3.89
4,45,2,5750,10.6,30,62,63,189,0.121,1,3,6,5,2.45
4,230,35,4250,5.17,34,67,46,217,0.032,1,3,4,4,3.53
0,500,65,6250,14.05,31,59,67,165,0.05,1,2,3,3,4.36
2,600,60,1750,3.07,52,83,18,43,0.059,1,3,5,4,3.17
5,17500,1791,4750,6.65,36,67,41,154,0.176,2,3,4,2,2.5
1,12000,3948,2250,3.07,52,83,18,43,0.02,2,1,1,1,4.06
0,4950,450,4750,6.65,36,67,41,154,0.06,1,2,3,3,4.14
8,3700,1279,4250,6,36,67,41,154,0.023,2,1,1,1,3.5
2,45,2,5750,10.6,30,62,63,189,0.092,1,3,6,5,2.9
2,950,235,4750,6.28,39,71,34,129,0.036,1,2,3,2,4.38
0,9950,2500,1750,3.07,52,83,18,43,0.01,2,1,1,1,4.3
4,21750,1475,2250,3.07,52,83,18,43,0.038,3,2,3,2,3.4
2,6350,1350,1750,3.07,52,83,18,43,0.05,1,2,3,2,4.38
1,1400,403,4250,5.8,41,73,31,100,0.039,1,2,3,2,4.32
2,430,150,6750,18.25,32,57,73,145,0.05,1,2,3,3,4.14
5,330,65,5750,10.6,30,62,63,189,0.028,1,2,3,3,4.22
7,3450,1279,4750,6.25,32,65,50,230,0.045,2,1,1,1,2.94
2,1075,350,5750,10.6,30,62,63,189,0,1,2,3,3,4.26
1,600,175,5750,10.6,30,62,63,189,0,1,2,3,3,4.42
2,7000,600,4250,6,36,67,41,154,0.109,1,2,3,2,4.13
9,12500,3130,4250,6,36,67,41,154,0.035,2,1,1,1,3.82
1,5500,487,4250,6,36,67,41,154,0.01,2,2,3,2,4.35
4,3600,1600,4250,6,36,67,41,154,0.044,2,1,1,1,3.55
1,3045,250,2750,6.37,48,78,25,87,0.12,2,3,4,3,3.5
4,12000,1233,2250,3.07,52,83,18,43,0.051,1,3,3,2,4.03
1,1100,378,4250,5.8,41,73,31,100,0.019,1,2,3,2,4.21
1,3300,1450,4750,6.25,32,65,50,230,0.17,2,1,1,1,4.35
2,110,19,4750,6.28,39,71,34,129,0.05,1,3,4,5,4.28
0,10260,3935,4250,6.65,36,67,41,154,0.03,2,1,1,1,4.26
2,145,20,4750,6.28,39,71,34,129,0.058,1,3,4,5,3.73
4,900,65,5750,10.6,30,62,63,189,0,1,3,4,3,4.07
1,2625,1250,5750,10.6,30,62,63,189,0.08,2,1,1,1,4.2
0,4750,1280,3250,7.58,41,70,36,108,0.12,1,2,3,2,4.14
1,825,20,4750,6.65,36,67,41,154,0.01,1,3,5,4,3.88
9,215,47,5750,7.71,34,66,40,156,0.023,1,3,4,5,3.47
6,9500,1891,2250,3.07,52,83,18,43,0.05,2,1,1,1,3.49
0,1500,200,4750,8.25,33,65,45,176,0.08,1,3,4,3,4.31
4,3400,1470,5250,7.95,31,63,56,216,0.063,2,1,1,1,4
0,3885,1550,3750,5.55,38,69,38,119,0.11,2,1,1,1,4.32
0,4025,1530,3750,5.55,38,69,38,119,0.04,2,1,1,1,4.4
2,3955,1301,3750,5.55,38,69,38,119,0.14,2,1,1,1,4.38
2,375,63,5750,7.71,34,66,40,156,0.05,1,3,4,4,3.67
0,3175,125,7750,26.95,29,51,74,126,0.04,1,3,4,3,3.99
1,465,93,6250,14.05,31,59,67,165,0.04,1,2,3,3,4.38
0,4800,1475,4750,6.25,32,65,50,230,0,2,1,1,1,4.45
5,13300,2925,4250,6,36,67,41,154,0.05,2,1,1,1,4.17
0,22250,500,2250,3.07,52,83,18,43,0,3,3,3,2,3.3
0,1100,210,3750,5.36,44,76,29,77,0.06,1,2,3,2,4.38
4,17000,150,1750,3.07,52,83,18,43,0.071,3,3,4,2,3.72
4,1100,225,5750,10.6,30,62,63,189,0,1,2,3,2,4.05
3,4150,1365,4250,6,36,67,41,154,0.1,2,1,1,1,4.39
5,1050,500,5750,10.6,30,62,63,189,0.061,1,2,3,2,4.27
6,1050,360,5750,10.6,30,62,63,189,0.056,1,2,3,2,4.11
2,500,180,3750,5.36,44,76,29,77,0.026,1,2,3,3,4.43
2,365,85,6250,14.05,31,59,67,165,0.02,1,2,3,3,4.23
1,2600,1128,6750,18.25,32,57,73,145,0.048,2,1,1,1,4.02
4,500,83,7250,23.15,33,54,77,128,0,1,2,3,3,3.95
3,3600,1279,4750,6.25,32,65,50,230,0.051,2,1,1,1,3.58
3,650,75,7750,29.42,34,50,80,116,0,1,2,3,3,4.19
8,3800,1577,4250,6,36,67,41,154,0.028,2,1,1,1,3.5
4,380,90,5750,10.6,30,62,63,189,0,1,2,3,3,4.31
1,185,30,6250,8.75,32,63,42,166,0.12,1,3,5,4,3.83
4,2850,93,6750,19.25,30,56,65,158,0.097,1,3,4,3,4.19
3,650,138,5750,10.6,30,62,63,189,0.039,1,2,3,3,3.88
2,34250,1438,2250,3.07,52,83,18,43,0.17,3,3,4,2,3.72
0,3885,1550,3750,5.55,38,69,38,119,0.09,2,1,1,1,4.36
7,700,157,5750,10.6,30,62,63,189,0.041,1,2,3,3,3.45
1,650,138,5750,10.6,30,62,63,189,0.107,1,2,3,3,3.87
7,1200,271,4750,6.28,39,71,34,129,0.039,1,2,3,2,3.78
2,430,150,7250,23.15,33,54,77,128,0.05,1,2,3,3,4.24
0,3215,1450,4750,6.25,32,65,50,230,0.15,2,1,1,1,4.38
8,240,72,6250,8.75,32,63,42,166,0.039,1,3,4,4,2.99
7,185,10,5250,7.95,31,63,56,216,0.028,1,3,5,4,3.93
4,25,2,4250,5.8,41,73,31,100,0.085,1,3,5,5,2.35
0,3655,1450,4250,6.65,36,67,41,154,0.06,2,1,1,1,4.47
4,5000,1368,2250,3.07,52,83,18,43,0.034,1,2,3,2,4.32
0,90,2,5250,6.88,37,68,37,143,0.02,1,3,6,5,2.74
8,1200,81,4250,6,36,67,41,154,0.043,1,2,3,2,4.01
2,340,55,6250,14.05,31,59,67,165,0,1,3,4,4,4.28
6,1100,367,5750,10.6,30,62,63,189,0.058,1,2,3,2,3.89
0,3700,1800,4250,6,36,67,41,154,0,2,1,1,1,4.38
0,1100,160,3750,5.55,38,69,38,119,0.027,1,2,3,2,4.14
0,16000,500,2250,3.07,52,83,18,43,0,3,3,3,2,3.56
2,340,55,6250,14.05,31,59,67,165,0,1,3,4,4,4.37
